TEXT_BASE 0x0
main, 0x1063c: lw	a5,-20(s0)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x10800: nop
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
recurse, 0x107fe: j	0x10802 <recurse+58>
recurse, 0x10802: ld	ra,24(sp)
recurse, 0x10804: ld	s0,16(sp)
recurse, 0x10806: addi	sp,sp,32
recurse, 0x10808: ret
main, 0x10684: li	a5,0
main, 0x10686: mv	a0,a5
main, 0x10688: ld	ra,24(sp)
main, 0x1068a: ld	s0,16(sp)
main, 0x1068c: addi	sp,sp,32
main, 0x1068e: ret
[CALL] __libc_start_call_main -> <exit>
__libc_start_call_main, 0x10d0a: jal	ra,0x14fec <exit>
exit, 0x14fec: addi	sp,sp,-16
exit, 0x14fee: li	a3,1
exit, 0x14ff0: li	a2,1
exit, 0x14ff2: auipc	a1,0x61
exit, 0x14ff6: addi	a1,a1,22
exit, 0x14ffa: sd	ra,8(sp)
[CALL] exit -> <__run_exit_handlers>
exit, 0x14ffc: jal	ra,0x14e0e <__run_exit_handlers>
